# MJD             m          dm
58692.2657523 19.5331345 0.103423759
58692.2766088 19.7658958 0.1185738
58692.2805208 19.800972 0.120907746
58692.2922222 19.7967892 0.120629303
58692.2926736 19.6803799 0.112918317
58694.2409028 19.5066948 0.101764724
58694.2947569 20.192627 0.145594463
58696.1933449 19.6459007 0.1106617
58696.1937963 19.5994854 0.107653379
58696.2045718 19.614996 0.108654544
58696.2060185 19.6734734 0.112465017
58696.2130093 19.8072548 0.121326141
58696.2160417 19.6070404 0.108140536
58696.2248032 19.5537109 0.104725689
58696.228287 19.6094627 0.108296923
58696.2287384 19.8310814 0.122912705
58696.2359606 19.4436607 0.097877048
58696.249838 19.730711 0.116238967
58697.2363542 19.7839375 0.119773813
58697.2368056 19.7689056 0.118773893
58697.2458912 19.777153 0.119322434
58697.2483449 19.6573544 0.111409433
58697.2498843 19.6154461 0.108683668
58697.2652083 19.741148 0.116930619
58697.2681597 19.621666 0.109086446
58697.2710995 19.7384453 0.116751447
58697.2793866 19.5124245 0.102122866
58697.2884028 19.7788029 0.119432181
58697.2888542 19.791256 0.120260894
58699.2153472 19.5429668 0.104044735
58699.2327778 19.534874 0.103533454
58699.2381134 19.5391769 0.10380514
58699.2411227 19.8671455 0.125311285
58699.2525116 19.9291801 0.129412457
58699.2529745 19.7013359 0.114297621
58699.2615625 19.6990871 0.114149317
58699.2635069 19.5949631 0.107362375
58699.2682407 19.6414871 0.11037413
58699.2687037 19.4479408 0.0981378481
58700.1909028 19.5723495 0.105912745
58700.1913542 19.5119419 0.102092654
58700.2112037 19.5218239 0.102712095
58700.2123032 19.4695454 0.0994615778
58700.2167245 19.8068619 0.12129996
58700.2312037 19.4516983 0.0983671993
58700.2341204 19.4565506 0.0986639783
58700.2364699 19.6865425 0.11332339
58700.2393981 19.654417 0.111217484
58700.247662 19.453434 0.0984732658
58700.2481134 19.6156712 0.108698249
58701.2361343 19.569561 0.105734706
58701.2383565 19.5448933 0.104166642
58701.2573264 19.672945 0.112430371
58701.2613542 19.7219696 0.11566034
58701.2623264 19.7077274 0.114719242
58701.2680556 19.6193199 0.108934447
58701.2685069 20.029707 0.135909393
58703.2267245 19.4431648 0.0978468657
58703.2271759 19.5369167 0.103662394
58703.2335532 19.6914635 0.113647163
58703.2446528 19.7661724 0.118592188
58703.2510069 19.4307747 0.0970946774
58703.2625926 19.5765305 0.106179975
58715.188912 19.6329365 0.10981781
58715.2002315 19.9188404 0.128732204
58715.214213 19.8073158 0.121330217
58715.2342708 20.0601406 0.137817129
58715.2347338 19.651535 0.111029342
58723.2059491 19.6324577 0.109786674
58723.2064005 19.7330914 0.116396666
58724.1914815 19.6042156 0.107958242
58724.1919444 19.6484756 0.110829644
58987.4874537 19.9238224 0.129060179
58991.4847685 19.7547722 0.117834762
58999.3342014 19.8429985 0.123705909
59011.354375 19.6003399 0.107708454
59041.2509954 19.7497826 0.117503531
59043.2682755 19.6698151 0.112225115
59045.2095602 19.6833229 0.113111719
59047.3147685 19.7093506 0.114826441
59067.2730671 19.7419472 0.116983667
59071.1898495 20.4540558 0.156224102
59073.1884259 19.7560616 0.117920429
59077.1466551 19.5791569 0.106348023
59081.1686458 19.6167355 0.108767129
59085.1693866 19.7763863 0.119271368
59323.4807407 18.3033943 0.0478415601
59329.4389352 18.4121685 0.0510118939
59336.4604282 18.3388844 0.0488442406
59339.4597801 18.2970238 0.0476647541
59341.4188194 18.3690872 0.0497215278
59349.4396412 17.998085 0.040379785
59358.3553819 19.3464508 0.0920863375
59363.3889931 19.2123775 0.0845482722
59366.3791782 19.0810261 0.0777002051
59368.3978125 19.1466789 0.0810553282
59376.3135648 19.2420673 0.0861706808
59378.3136921 19.1369133 0.0805476606
59380.354838 19.2059593 0.0842011124
59382.3345139 19.1428528 0.0808560401
59384.318125 19.1371517 0.0805600137
59386.3602662 19.5301971 0.103238657
59393.3776389 19.1014233 0.0787279755
59397.354919 19.1145611 0.0793969482
59402.2513889 19.2927475 0.0890023112
59404.2935417 19.2652054 0.0874538347
59407.2938889 19.2317696 0.0856048912
59409.2737269 19.0348549 0.0754223391
59411.231169 19.1724453 0.0824091285
59414.2737963 19.1030655 0.0788113251
59427.2098264 19.3732967 0.0936593637
59429.2383565 19.1856556 0.083111316
59434.1887269 19.2061005 0.0842087045
59436.2115741 19.2703915 0.0877436325
59450.1705787 19.1545143 0.08146476
59452.2105208 19.0007496 0.0737830028
59463.1488657 19.1071014 0.0790164769
59465.1693056 19.0637798 0.0768414736
59467.1467477 19.2873459 0.0886968374
59469.1696759 19.0817337 0.0777356774
59698.4605556 19.9683914 0.131975397
59700.4183449 19.8636513 0.125079185
59719.4198495 19.5709667 0.105824426
59723.4401273 19.7636185 0.118422471
59725.3975694 19.6763897 0.112656333
59727.3771065 19.6580162 0.111452684
59735.3772338 19.4847584 0.100400642
59738.4197569 19.6109753 0.108394653
59740.3348264 19.5050449 0.101661749
59751.3755903 19.6791363 0.112836652
59753.3351968 19.5973434 0.107515469
59756.3358449 19.5764027 0.106171817
59760.2929051 19.5084 0.101871207
59764.2928588 19.6435223 0.110506698
59775.3371065 19.5159454 0.10234338
59782.2518171 19.8636818 0.125081167
59786.2728125 19.2860489 0.0886236206
59797.2161343 19.5695934 0.105736777
59803.1725231 19.354496 0.0925556123
59806.1906366 19.5765629 0.106182046
59808.2200347 19.6214638 0.109073289
59810.1729398 19.4952316 0.101050489
59815.1693171 19.7411041 0.11692778
59817.1994097 19.5275841 0.103074163
59823.1538542 20.0944901 0.139924645
